doi,field_id
"10.1177/0956797614558718","cognitive_psychology"
"10.1111/1467-9280.00334","cognitive_psychology"
"10.1016/j.obhdp.2006.10.001","occupational_organisational_business_psychology"
"10.1016/j.biopsycho.2018.08.007","biological_neuropsychology"
"10.1093/geronb/gbx099","developmental_psychology"
"10.1037/0022-3514.94.3.495","social_psychology"
"10.1073/pnas.1717092115","cognitive_psychology"
"10.1037/0278-7393.34.1.204","cognitive_psychology"
"10.1177/0956797614547705","cognitive_psychology"
"10.1037/a0012833","cognitive_psychology"
"10.1111/j.1551-6709.2010.01161.x","cognitive_psychology"
"10.1126/science.1189993","social_psychology"
"10.1002/jeab.432","cognitive_psychology"
"10.1016/j.jesp.2005.05.001","cognitive_psychology"
"10.1126/science.1222426","psychology_general"
"djärv_2018","cognitive_psychology"
"10.1073/pnas.1606574113","social_psychology"
"10.1126/science.1211180","social_psychology"
"10.1080/09515089.2014.894431","social_psychology"
"10.1177/0267658310386439","cognitive_psychology"
"10.1073/pnas.1704032114","social_psychology"
"10.1073/pnas.1616921114","social_psychology"
