"doi_o","doi_r","type_r","is_oa","publication_access_group","unpaywall_coverage","n_originals_for_replication","multi_original_f"
"10.1371/journal.pone.0072626","10.31234/osf.io/knh68","preprint",TRUE,"preprint","status_available",1,0
"10.1371/journal.pone.0111065","10.23675/sjlas.v45i0.614","article",NA,"article_access_unknown","status_not_retrieved",1,0
"10.1371/journal.pone.0144228","10.1007/s40881-021-00109-5","article",TRUE,"article_oa","status_available",1,0
"10.1371/journal.pone.0163051","10.1073/pnas.2103313118","article",TRUE,"article_oa","status_available",7,1
"10.1371/journal.pone.0175799","10.1177/09636625211024550","article",TRUE,"article_oa","status_available",1,0
"10.1377/hlthaff.2012.0393","10.1111/1475-6773.12595","article",TRUE,"article_oa","status_available",1,0
"10.1509/jmkr.43.2.259","10.17605/osf.io/46zm7","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1509/jmkr.45.6.633","10.1177/2515245918781032","article",TRUE,"article_oa","status_available",1,0
"10.1509/jmr.13.0451","10.1073/pnas.2103313118","article",TRUE,"article_oa","status_available",7,1
"10.1515/ling.2010.027","10.25949/19433621","dissertation",NA,"online_deposit","status_not_retrieved",1,0
"10.1521/soco.2017.35.1.66","10.1521/soco.2020.38.6.521","article",FALSE,"article_closed","status_available",1,0
"10.1521/soco.2018.36.1.4","10.1073/pnas.2103313118","article",TRUE,"article_oa","status_available",7,1
"10.1523/jneurosci.14-05-03208.1994","10.1152/jn.00493.2013","article",TRUE,"article_oa","status_available",1,0
"10.1523/jneurosci.1777-12.2012","10.1371/journal.pone.0236287","article",TRUE,"article_oa","status_available",1,0
"10.1523/jneurosci.2129-15.2016","10.1098/rsos.182067","article",TRUE,"article_oa","status_available",1,0
"10.1523/jneurosci.5996-10.2012","10.1523/jneurosci.0888-19.2019","article",TRUE,"article_oa","status_available",1,0
"10.1534/g3.114.015669","10.1186/s12891-019-2402-x","article",TRUE,"article_oa","status_available",1,0
"10.2147/ppa.s30763","10.2147/ppa.s96880","article",TRUE,"article_oa","status_available",1,0
"10.2202/1558-3708.1832","10.1002/jae.2434","article",FALSE,"article_closed","status_available",1,0
"10.2224/sbp.2003.31.2.167","10.1177/0265407520969871","article",FALSE,"article_closed","status_available",1,0
"10.2224/sbp.2008.36.6.753","10.31234/osf.io/vzsfa","preprint",TRUE,"preprint","status_available",1,0
"10.2307/2109768","10.1002/jae.2648","article",FALSE,"article_closed","status_available",1,0
"10.2307/25148745","10.17705/1atrr.00044","article",NA,"article_access_unknown","status_not_retrieved",1,0
"10.25300/misq/2014/38.2.04","10.17705/1atrr.00029","article",TRUE,"article_oa","status_available",1,0
"10.2753/joa0091-3367370303","10.1080/00913367.2015.1093438","article",FALSE,"article_closed","status_available",1,0
"10.3109/0142159x.2010.541533","10.3205/zma000997","article",NA,"article_access_unknown","status_not_retrieved",1,0
"10.3109/15622975.2011.615860","10.1097/ypg.0000000000000193","article",TRUE,"article_oa","status_available",1,0
"10.3389/fpsyg.2014.01276","10.17605/osf.io/j8a4p",NA,NA,"online_deposit","status_not_retrieved",1,0
"10.3389/fpsyg.2015.01274","10.31234/osf.io/amdz8","preprint",TRUE,"preprint","status_available",1,0
"10.3389/fpsyg.2016.00814","10.1371/journal.pone.0237007","article",TRUE,"article_oa","status_available",1,0
"10.3389/fpsyt.2012.00045","10.1167/17.10.898","article",TRUE,"article_oa","status_available",1,0
"10.3389/fpsyt.2014.00019","10.1080/20008198.2019.1705599","article",TRUE,"article_oa","status_available",1,0
"10.3758/bf03193216","10.3758/s13421-018-0791-y","article",TRUE,"article_oa","status_available",1,0
"10.3758/bf03196261","10.1037/xhp0000411","article",FALSE,"article_closed","status_available",1,0
"10.3758/bf03202642","10.31234/osf.io/2dyn7","preprint",TRUE,"preprint","status_available",1,0
"10.3758/mc.37.1.65","10.1037/a0031138","article",TRUE,"article_oa","status_available",1,0
"10.3758/pbr.16.1.139","10.3758/s13421-019-00968-8","article",TRUE,"article_oa","status_available",1,0
"10.3758/s13414-012-0325-9","10.3389/fpsyg.2016.00630","article",TRUE,"article_oa","status_available",1,0
"10.3982/ecta12987","10.17605/osf.io/gpyu7","preprint",NA,"preprint","status_not_retrieved",1,0
"10.3982/ecta14176","10.1002/jae.2850","article",FALSE,"article_closed","status_available",1,0
"10.3982/ecta6248","10.1002/jae.2861","article",TRUE,"article_oa","status_available",1,0
"10.4006/0836-1398-29.1.014","10.3389/fpsyg.2019.01891","article",TRUE,"article_oa","status_available",1,0
"10.7717/peerj.1232","10.7717/peerj.4661","article",TRUE,"article_oa","status_available",1,0
