"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
36,5090,147122,179828.047395884,-6.42554958661763,18.1874006138112,418
37,5004,116563,146740.911192705,-6.03075763243505,20.5654380550182,484
38,5057,133774,157776.138779277,-4.74631971114828,15.2127812006193,256
39,5010,149384,174710.698380848,-5.05522921773415,14.4963637691145,460
40,5104,144257,175243.926376468,-6.07110626498192,17.6821685163,545
41,4998,123088,139163.929898515,-3.21647256873059,11.5517935647827,459
42,5029,122088,153205.91166436,-6.18769370935773,20.3111690184204,330
43,5077,136101,151897.221882807,-3.11132989616052,10.3992829407994,298
44,5022,129130,108050.557935926,4.19741976584502,-19.5088692430203,492
45,5106,133182,144100.297424184,-2.13832695342427,7.5768736216029,470
46,5111,120473,101814.015240583,3.65075029532713,-18.326538556923,291
47,4998,128522,126376.902239254,0.429191228640593,-1.69738118496102,575
48,5059,137783,157923.42181146,-3.9811072961968,12.7532835727842,395
49,5052,121530,145056.891704032,-4.65694610135239,16.2190788921877,402
50,4911,130191,100093.61848292,6.12856475607418,-30.0692311590436,228
51,5101,140549,171708.891944357,-6.10858497242827,18.1469297201301,381
52,5016,137954,171594.48844266,-6.7066364518859,19.6046439183278,439
53,4909,145177,178257.300555042,-6.73870453351849,18.557613321889,388
54,5093,137623,146756.377501522,-1.79331975290036,6.22349614852467,454
55,5033,126967,166897.239654401,-7.93368560588135,23.925044978027,363
56,5012,105070,110387.490331372,-1.06095178199768,4.81711316690849,354
57,4994,130826,149323.192845213,-3.70388322891739,12.3873542299537,373
58,5009,150967,200714.468288724,-9.93161674759915,24.7851929723189,403
59,5016,144003,186994.182860822,-8.57080998022769,22.9906525449618,414
60,5108,124148,153464.46025383,-5.7393226808594,19.1030941009668,502
61,5099,98668,134942.037333878,-7.11395123237458,26.8811988099213,457
62,4984,115349,157334.658183435,-8.42408872059293,26.6855749827762,363
63,5069,102022,141410.419258235,-7.77045161930075,27.8539724758942,499
64,5069,125650,129934.182387401,-0.845173088853947,3.29719424764401,418
65,4912,130141,154047.161128774,-4.86688948061358,15.5187287799415,477
66,5121,109636,134068.575954491,-4.77105564430593,18.2239393389128,485
67,5005,133015,143281.747388761,-2.05129817957272,7.16542586607702,364
68,4998,157634,174204.091512175,-3.31534444021115,9.51188423207454,377
69,5006,138542,163612.988733967,-5.00818792128784,15.3233486705216,422
70,5015,144621,152763.200425096,-1.6235693768886,5.3299488374418,486
71,5120,119511,135955.649572268,-3.21184561958362,12.0955985455587,469
72,5132,123501,148620.33919149,-4.89464910200514,16.9016833955178,379
73,4966,111704,135114.912053734,-4.71423923756232,17.3266678695125,439
74,5071,132620,169712.749805206,-7.3146814839688,21.8561951578655,491
75,5072,140909,159965.676349843,-3.75723114153048,11.9129783242787,424
76,5015,124702,140064.86602752,-3.06338305633493,10.9683937615742,462
77,5153,116906,145603.01401254,-5.56899165777985,19.7090796554995,491
78,4993,126177,145709.634338554,-3.91200367285272,13.4051769652856,293
79,5144,135930,159791.762969146,-4.63875640924307,14.933036926161,389
80,5061,143435,164681.683118979,-4.19811956510155,12.9016674572294,493
81,4964,117757,150943.569075567,-6.68544904826081,21.9860768357428,469
82,5114,147114,176627.790118719,-5.7711752285332,16.7095959808371,340
83,5063,125162,172719.212547129,-9.39308958070887,27.5344079247422,343
84,5133,118617,163014.100562929,-8.64934746988678,27.2351289916728,561
85,5119,130241,171589.412194087,-8.07743938153679,24.0972981172738,343
86,5036,133782,120187.87433874,2.69938952765298,-11.31072975211,156
87,5018,133182,143039.71539479,-1.96447098341777,6.89159326665536,318
88,5027,129348,120017.28445596,1.85612006048146,-7.77447647339844,478
89,5023,149972,178181.094376697,-5.61598534276263,15.8316989102442,278
90,4942,133080,162085.67985641,-5.86921891064556,17.8952760552975,353
91,5063,133841,139607.214224261,-1.13889279562736,4.13031250304775,388
92,5124,115472,145515.091415138,-5.86321065869203,20.6460313655224,420
93,4936,108624,129357.186134913,-4.20040237741358,16.0278580219654,429
94,5051,128971,140213.374206013,-2.22577196713771,8.01804697281899,373
95,4983,116807,154983.336971992,-7.66131586835072,24.6325429029127,367
96,5039,144993,161445.189355293,-3.26497109650592,10.1905726773233,442
97,5043,120833,133052.471831934,-2.42305608406389,9.18394950780715,465
98,4942,143253,122814.656142001,4.13564222136759,-16.6416163184688,645
99,5015,143028,178925.08677061,-7.15794352355142,20.062634825843,336
100,5038,113703,137946.969058159,-4.81222093254455,17.5748472211361,386
101,4979,125770,167552.24562547,-8.39169424090578,24.9368460980618,369
102,5083,123229,159080.57210846,-7.05323079056854,22.536738228485,399
103,4920,119113,86648.9423898574,6.59838569311842,-37.466190255477,164
104,5016,132711,150364.129966609,-3.51936402843085,11.7402534570774,354
105,5073,134027,154094.688190837,-3.95578320339779,13.0229590821355,438
106,5044,146692,122448.511864181,4.80640129576105,-19.7989242717048,374
107,5057,128542,119889.094374499,1.71107487156437,-7.21742512998874,732
108,4951,136339,144771.090462602,-1.70310855637287,5.82442975020644,318
109,5034,124386,150035.026772462,-5.09515827820073,17.0953592132595,369
110,4941,124195,149016.742666297,-5.02362733582207,16.6570159984518,454
111,4988,125491,152385.802613418,-5.39190108528828,17.6491524487005,501
112,5110,144687,158291.895294363,-2.66240612414149,8.59481483184154,420
113,5048,147729,155385.509301588,-1.51674114532247,4.92742813406578,358
114,5069,114487,147301.40835848,-6.47354672686527,22.2770499781111,349
115,4955,124221,164066.336239646,-8.04144020981757,24.2861132593619,376
116,4980,124480,115087.963227384,1.88595115915981,-8.1607463623799,676
117,5038,109166,125603.667684236,-3.26273673764116,13.0869328796672,444
118,5105,122637,161246.379922491,-7.56305189470932,23.9443390549605,628
119,5053,108242,131863.873383268,-4.67482156803244,17.9138324828438,415
120,4975,128101,172064.828723583,-8.83695049720255,25.5507351791279,370
121,5041,136210,177647.913010833,-8.22017714954046,23.3258653639835,469
122,5086,115960,146693.841957965,-6.04283168658372,20.9510103135561,579
123,4994,128937,121786.777574241,1.43176260027218,-5.871099119443,739
124,5031,124974,147906.721246269,-4.55828289530299,15.5048540411396,446
125,5055,113818,151869.082805371,-7.52741499611699,25.0551870746042,422
126,5025,134048,117012.302577235,3.39018854184386,-14.5588942765406,577
127,5067,132811,165117.933422995,-6.37594896842209,19.5659749085108,319
128,5018,126014,112058.295595127,2.78112881723262,-12.4539681161099,622
129,4936,120463,155278.782102099,-7.05344045828577,22.4214677825117,351
130,5039,119583,154178.588854857,-6.86556635341468,22.4386467095148,466
131,5120,148718,176271.062260428,-5.3814574727398,15.6310751788176,334
132,5082,111582,132486.519520002,-4.11344343172023,15.7786011706996,490
133,5012,119050,115814.404062777,0.645569819876878,-2.79377678744438,395
134,4906,133655,174151.063867214,-8.25439540709622,23.2534117035836,445
135,4959,140714,159543.93803874,-3.79712402475091,11.8023525495325,413
136,5012,144865,138607.57541138,1.24848854521554,-4.51448960855755,547
137,4955,115703,118818.636185167,-0.628786313858187,2.62217803974109,439
138,5033,127760,130921.379250906,-0.628130190921213,2.41471581570172,360
139,4987,129890,161683.224149145,-6.37522040287657,19.6638979191914,426
140,4958,107259,129768.507374633,-4.54003779238264,17.3458937226192,343
141,5146,171743,241618.782265036,-13.5786595928946,28.919847045826,521
142,4983,133059,161933.376213231,-5.79457680377907,17.8310221700126,390
143,4930,135332,141274.542579875,-1.20538389044123,4.20637892103981,394
144,5050,125570,84105.8440724185,8.21072394605575,-49.2999700376103,155
145,5079,134835,156015.395448182,-4.17019008627323,13.5758367867077,455
146,5034,157665,100616.587007805,11.3326207771543,-56.698815462474,700
147,5132,130097,171390.011618444,-8.04618309010994,24.0930094049894,480
148,5032,129945,162482.904933647,-6.46619732385665,20.0254327967205,460
149,4940,122826,154874.877625137,-6.48762704962281,20.6933998054279,314
150,5084,128992,164057.326457486,-6.89719245819953,21.373825366204,400
151,5109,120121,152563.565129142,-6.35008125448072,21.2649495321376,448
152,4933,120410,162322.839152544,-8.49641985658708,25.820666624218,378
153,5017,145576,110161.353917025,7.05892885847622,-32.1479764216134,686
154,5105,132836,175618.874024083,-8.38058257082922,24.3612050594381,413
155,5097,124653,173771.588279417,-9.63676442601862,28.2661790490379,440
156,5113,163199,174821.18130884,-2.27306499292781,6.64803956924882,358
157,4973,107363,127264.221378519,-4.00185428886371,15.6377190407094,344
158,5017,117276,128125.716118948,-2.16259041637396,8.46802378757095,385
159,4964,140573,173000.351982246,-6.53250442833327,18.7440959574314,400
160,4957,121577,145355.820700869,-4.79701849926746,16.3590426487315,354
161,5098,141476,89458.3931142997,10.2035321470577,-58.1472627383751,180
162,5029,148794,178629.872812526,-5.93276452824146,16.7026222113696,377
